Data Description:
,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
count,1492.0,1229.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1229.0,1280.0,1319.0,1360.0,1361.0,1361.0,1361.0,1361.0,1361.0,1319.0,536.0,532.0,533.0,498.0
mean,2004.4336461126006,915930.820992677,9092081.85859375,766372.3359375,4216552.94765625,4109156.56875,9196680.86875,4762966.37421875,2680330.67578125,429204.6167615948,902769.29453125,17601.614101592117,63746.76102941176,64538.92725936811,64271.05731080088,54268.92432035268,519214.03600293904,247071.35194709772,802441.5125094769,234.76829289706959,278.4147114511402,218.8661539741663,263.66113199437666
std,7.393982678901836,1065280.4240008178,11745187.39750724,1145241.5879188366,5543071.995647953,5482970.607875315,11978126.895704186,6293003.724990936,3353348.5591162215,534069.3186933647,1327561.8152063373,30016.16644696505,80205.13814281001,80293.38762519155,78910.54577607226,67889.27623023825,643638.4262309681,307705.62911751104,970703.0749573637,10.221510625664289,10.159722018528429,7.769616426232636,6.803725024986959
min,1992.0,43866.0,465650.0,31020.0,0.0,22093.0,481665.0,265549.0,139963.0,11541.0,12708.0,0.0,544.0,633.0,437.0,311.0,4878.0,1808.0,7254.0,187.134669958413,232.831509532896,178.557611651728,236.37910176331403
25%,1998.0,258314.0,2186305.25,189354.0,1153097.25,715834.5,2165404.5,1168032.0,635790.0,102831.0,181564.5,2021.0,11745.0,13739.0,13342.0,10919.0,110626.0,51471.0,181065.0,229.69435241263625,272.7615982902783,214.663401291545,259.5331712108278
50%,2004.0,648313.0,5079546.0,403376.5,2537073.5,2055780.5,5234505.5,2657452.0,1525405.5,271596.0,510259.5,8106.0,41597.5,43272.0,43339.0,36735.0,345775.0,164260.0,550342.0,237.23855244445502,280.6188034905995,220.41603448313703,265.01091228450105
75%,2011.0,1014528.0,10859847.75,828966.0,5080939.25,4768680.0,10745191.0,5568028.0,3229650.75,518600.0,966851.5,22295.0,73865.25,75481.0,76566.0,67460.0,611905.0,290502.0,928275.5,241.9954861630315,285.347428094796,223.999336825378,268.190120654764
max,2017.0,6307022.0,89217262.0,9990221.0,50904567.0,36105265.0,85320133.0,43964520.0,26058021.0,3995951.0,10223657.0,250911.0,530531.0,493415.0,500143.0,498403.0,3929869.0,2013687.0,5944746.0,253.420961133202,300.568235011147,236.773866580369,280.499129965249

Null Counts
PRIMARY_KEY: 0
STATE: 0
YEAR: 0
ENROLL: 263
TOTAL_REVENUE: 212
FEDERAL_REVENUE: 212
STATE_REVENUE: 212
LOCAL_REVENUE: 212
TOTAL_EXPENDITURE: 212
INSTRUCTION_EXPENDITURE: 212
SUPPORT_SERVICES_EXPENDITURE: 212
OTHER_EXPENDITURE: 263
CAPITAL_OUTLAY_EXPENDITURE: 212
GRADES_PK_G: 173
GRADES_KG_G: 132
GRADES_4_G: 131
GRADES_8_G: 131
GRADES_12_G: 131
GRADES_1_8_G: 131
GRADES_9_12_G: 131
GRADES_ALL_G: 173
AVG_MATH_4_SCORE: 956
AVG_MATH_8_SCORE: 960
AVG_READING_4_SCORE: 959
AVG_READING_8_SCORE: 994

Nulls in Total Revenue
,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1326,1997_COMMONWEALTH_OF_MARIANAS,COMMONWEALTH_OF_MARIANAS,1997,,,,,,,,,,,588.0,566.0,799.0,585.0,500.0,6030.0,2062.0,8680.0,,,,
1327,1997_DOD_-_FOREIGN,DOD_-_FOREIGN,1997,,,,,,,,,,,1619.0,7843.0,6975.0,5140.0,2728.0,53968.0,14824.0,70411.0,,,,
1328,1997_GUAM,GUAM,1997,,,,,,,,,,,463.0,2765.0,2697.0,2173.0,1309.0,20748.0,8468.0,29679.0,,,,
1330,1997_VIRGIN_ISLANDS,VIRGIN_ISLANDS,1997,,,,,,,,,,,,1518.0,1655.0,1577.0,1193.0,13736.0,5849.0,,,,,
1325,1997_AMERICAN_SAMOA,AMERICAN_SAMOA,1997,,,,,,,,,,,1515.0,1205.0,1152.0,1009.0,704.0,9044.0,3414.0,13973.0,,,,
1329,1997_PUERTO_RICO,PUERTO_RICO,1997,,,,,,,,,,,358.0,43961.0,50314.0,46044.0,32432.0,399561.0,159395.0,559314.0,,,,
1337,1998_BI,BI,1998,,,,,,,,,,,,4843.0,4332.0,3759.0,2045.0,33535.0,11747.0,,,,,
1336,1998_AS,AS,1998,,,,,,,,,,,1452.0,1208.0,1170.0,1004.0,741.0,9146.0,3521.0,14119.0,,,,
1338,1998_DD,DD,1998,,,,,,,,,,,975.0,7584.0,7229.0,5171.0,2821.0,54650.0,14961.0,70586.0,,,,
1339,1998_GU,GU,1998,,,,,,,,,,,551.0,2181.0,2683.0,2270.0,1428.0,21126.0,8364.0,30041.0,,,,
1340,1998_MP,MP,1998,,,,,,,,,,,526.0,624.0,791.0,650.0,352.0,6270.0,2078.0,8874.0,,,,
1342,1998_VI,VI,1998,,,,,,,,,,,,1426.0,1651.0,1520.0,999.0,13675.0,5703.0,,,,,
1341,1998_PR,PR,1998,,,,,,,,,,,1037.0,44106.0,51337.0,46399.0,32289.0,396355.0,157385.0,554777.0,,,,
1402,1999_DOD_OVERSEAS,DOD_OVERSEAS,1999,,,,,,,,,,,,,,,,,,,,,,
1401,1999_DOD_DOMESTIC,DOD_DOMESTIC,1999,,,,,,,,,,,5069.0,11507.0,9896.0,6423.0,3355.0,73716.0,17537.0,96322.0,,,,
1404,1999_NORTHERN_MARIANAS,NORTHERN_MARIANAS,1999,,,,,,,,,,,549.0,574.0,838.0,694.0,344.0,6471.0,2098.0,9118.0,,,,
1403,1999_GUAM,GUAM,1999,,,,,,,,,,,584.0,2756.0,2813.0,2442.0,1392.0,20811.0,8800.0,30195.0,,,,
1399,1999_AMERICAN_SAMOA,AMERICAN_SAMOA,1999,,,,,,,,,,,1399.0,1170.0,1157.0,1047.0,725.0,9330.0,3535.0,14264.0,,,,
1400,1999_BUREAU_OF_INDIAN_AFFAIRS,BUREAU_OF_INDIAN_AFFAIRS,1999,,,,,,,,,,,,4614.0,4134.0,3691.0,1965.0,32836.0,11626.0,,,,,
1405,1999_PUERTO_RICO,PUERTO_RICO,1999,,,,,,,,,,,619.0,43261.0,49835.0,45842.0,34428.0,389889.0,159788.0,550296.0,,,,
1406,1999_VIRGIN_ISLANDS,VIRGIN_ISLANDS,1999,,,,,,,,,,,,1368.0,1669.0,1540.0,1096.0,13283.0,5904.0,,,,,
1426,2000_AMERICAN_SAMOA,AMERICAN_SAMOA,2000,,,,,,,,,,,1369.0,1038.0,1157.0,1109.0,745.0,9488.0,3762.0,14619.0,,,,
1427,2000_BUREAU_OF_INDIAN_AFFAIRS,BUREAU_OF_INDIAN_AFFAIRS,2000,,,,,,,,,,,,,4021.0,3634.0,1966.0,31537.0,11192.0,,,,,
1428,2000_DOD_DOMESTIC,DOD_DOMESTIC,2000,,,,,,,,,,,3357.0,4068.0,3089.0,1712.0,594.0,23156.0,3477.0,29990.0,,,,
1429,2000_DOD_OVERSEAS,DOD_OVERSEAS,2000,,,,,,,,,,,1846.0,6892.0,6570.0,4957.0,2735.0,50561.0,14282.0,66689.0,,,,
1430,2000_GUAM,GUAM,2000,,,,,,,,,,,570.0,2596.0,2613.0,2318.0,1414.0,20532.0,8775.0,29877.0,,,,
1431,2000_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2000,,,,,,,,,,,579.0,589.0,890.0,714.0,342.0,6594.0,2195.0,9368.0,,,,
1432,2000_PUERTO_RICO,PUERTO_RICO,2000,,,,,,,,,,,1139.0,42957.0,47296.0,46852.0,33567.0,388062.0,161218.0,550419.0,,,,
1433,2000_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2000,,,,,,,,,,,,1189.0,1650.0,1515.0,1021.0,12377.0,5280.0,,,,,
1280,2001_AMERICAN_SAMOA,AMERICAN_SAMOA,2001,,,,,,,,,,,1435.0,969.0,1251.0,1086.0,838.0,9507.0,3938.0,14880.0,,,,
1283,2001_DOD_OVERSEAS,DOD_OVERSEAS,2001,,,,,,,,,,,1948.0,6788.0,6626.0,4985.0,2675.0,50014.0,14462.0,66424.0,,,,
1285,2001_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2001,,,,,,,,,,,523.0,665.0,832.0,779.0,432.0,6773.0,2464.0,9760.0,,,,
1282,2001_DOD_DOMESTIC,DOD_DOMESTIC,2001,,,,,,,,,,,2855.0,3824.0,3009.0,1631.0,593.0,22146.0,3458.0,28459.0,,,,
1281,2001_BUREAU_OF_INDIAN_AFFAIRS,BUREAU_OF_INDIAN_AFFAIRS,2001,,,,,,,,,,,,4122.0,4016.0,3676.0,2109.0,30899.0,11455.0,,,,,
1286,2001_PUERTO_RICO,PUERTO_RICO,2001,,,,,,,,,,,863.0,41529.0,47082.0,46410.0,32699.0,382071.0,159891.0,542825.0,,,,
1287,2001_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2001,,,,,,,,,,,,,,,,,,,,,,
1284,2001_GUAM,GUAM,2001,,,,,,,,,,,474.0,2336.0,2621.0,2311.0,1539.0,20323.0,8859.0,29656.0,,,,
1370,2002_AMERICAN_SAMOA,AMERICAN_SAMOA,2002,,,,,,,,,,,1521.0,989.0,1319.0,1104.0,859.0,9328.0,4087.0,14936.0,,,,
1371,2002_BUREAU_OF_INDIAN_AFFAIRS,BUREAU_OF_INDIAN_AFFAIRS,2002,,,,,,,,,,,,4192.0,3812.0,3803.0,2092.0,30200.0,11734.0,,,,,
1372,2002_DOD_DOMESTIC,DOD_DOMESTIC,2002,,,,,,,,,,,2811.0,3725.0,2970.0,1554.0,601.0,21667.0,3356.0,27834.0,,,,
1373,2002_DOD_OVERSEAS,DOD_OVERSEAS,2002,,,,,,,,,,,2187.0,6531.0,6302.0,5215.0,2819.0,49496.0,14675.0,66358.0,,,,
1374,2002_GUAM,GUAM,2002,,,,,,,,,,,,,,,,,,,,,,
1375,2002_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2002,,,,,,,,,,,606.0,662.0,977.0,816.0,461.0,7020.0,2872.0,10498.0,,,,
1376,2002_PUERTO_RICO,PUERTO_RICO,2002,,,,,,,,,,,347.0,39941.0,47342.0,47533.0,33062.0,375774.0,160894.0,537015.0,,,,
1377,2002_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2002,,,,,,,,,,,,1068.0,1585.0,1296.0,1238.0,11370.0,5400.0,,,,,
1345,2003_DOD_DOMESTIC,DOD_DOMESTIC,2003,,,,,,,,,,,3164.0,3623.0,2816.0,1496.0,584.0,20713.0,3103.0,26980.0,,,,
1346,2003_DOD_OVERSEAS,DOD_OVERSEAS,2003,,,,,,,,,,,2018.0,6516.0,6126.0,5030.0,2766.0,47692.0,14827.0,64537.0,,,,
1347,2003_GUAM,GUAM,2003,,,,,,,,,,,430.0,2343.0,2193.0,2480.0,1397.0,19778.0,9021.0,29229.0,,,,
1343,2003_AMERICAN_SAMOA,AMERICAN_SAMOA,2003,,,,,,,,,,,1420.0,1028.0,1215.0,1107.0,895.0,9324.0,4057.0,14801.0,,,,
1349,2003_PUERTO_RICO,PUERTO_RICO,2003,,,,,,,,,,,232.0,40441.0,46101.0,45866.0,32824.0,364907.0,160077.0,525216.0,,,,
1350,2003_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2003,,,,,,,,,,,,1002.0,1482.0,1388.0,944.0,11388.0,4978.0,,,,,
1344,2003_BUREAU_OF_INDIAN_AFFAIRS,BUREAU_OF_INDIAN_AFFAIRS,2003,,,,,,,,,,,,4266.0,3614.0,3707.0,2306.0,29405.0,12157.0,,,,,
1348,2003_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2003,,,,,,,,,,,585.0,672.0,841.0,776.0,596.0,6857.0,3052.0,10494.0,,,,
1388,2004_DOD_DOMESTIC,DOD_DOMESTIC,2004,,,,,,,,,,,3009.0,3509.0,2675.0,1409.0,540.0,19677.0,2956.0,25642.0,,,,
1389,2004_DOD_OVERSEAS,DOD_OVERSEAS,2004,,,,,,,,,,,2005.0,6283.0,5731.0,4712.0,2821.0,45432.0,14607.0,62044.0,,,,
1390,2004_GUAM,GUAM,2004,,,,,,,,,,,430.0,2203.0,2509.0,2372.0,1657.0,19053.0,8919.0,28402.0,,,,
1392,2004_PUERTO_RICO,PUERTO_RICO,2004,,,,,,,,,,,199.0,38375.0,44497.0,43212.0,32917.0,356653.0,160428.0,517280.0,,,,
1393,2004_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2004,,,,,,,,,,,,989.0,1315.0,1288.0,929.0,10490.0,4779.0,,,,,
1387,2004_BUREAU_OF_INDIAN_EDUCATIO,BUREAU_OF_INDIAN_EDUCATIO,2004,,,,,,,,,,,,4266.0,3614.0,3707.0,2306.0,29405.0,12157.0,,,,,
1391,2004_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2004,,,,,,,,,,,580.0,686.0,851.0,834.0,668.0,7072.0,3185.0,10837.0,,,,
1386,2004_AMERICAN_SAMOA,AMERICAN_SAMOA,2004,,,,,,,,,,,1547.0,1016.0,1185.0,1115.0,878.0,9310.0,4191.0,15048.0,,,,
1324,2005_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2005,,,,,,,,,,,,993.0,1277.0,1371.0,1000.0,10732.0,5022.0,,,,,
1317,2005_AMERICAN_SAMOA,AMERICAN_SAMOA,2005,,,,,,,,,,,1560.0,1022.0,1109.0,1232.0,1064.0,9184.0,4623.0,15367.0,,,,
1318,2005_BIE,BIE,2005,,,,,,,,,,,,4745.0,3611.0,4385.0,2655.0,31388.0,14805.0,,,,,
1319,2005_DOD_DOMESTIC,DOD_DOMESTIC,2005,,,,,,,,,,,2796.0,3505.0,2523.0,1377.0,536.0,19257.0,2771.0,24824.0,,,,
1320,2005_DOD_OVERSEAS,DOD_OVERSEAS,2005,,,,,,,,,,,2299.0,4988.0,5261.0,4403.0,2700.0,41404.0,13852.0,57555.0,,,,
1321,2005_GUAM,GUAM,2005,,,,,,,,,,,446.0,2311.0,2480.0,2343.0,1459.0,19189.0,9040.0,28675.0,,,,
1322,2005_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2005,,,,,,,,,,,580.0,727.0,870.0,810.0,682.0,7044.0,3291.0,10915.0,,,,
1323,2005_PUERTO_RICO,PUERTO_RICO,2005,,,,,,,,,,,212.0,37695.0,43432.0,42804.0,33016.0,348233.0,157528.0,505973.0,,,,
1383,2006_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2006,,,,,,,,,,,579.0,725.0,892.0,939.0,718.0,7115.0,3191.0,10885.0,,,,
1382,2006_GUAM,GUAM,2006,,,,,,,,,,,,,,,,,,,,,,
1381,2006_DOD_OVERSEAS,DOD_OVERSEAS,2006,,,,,,,,,,,2192.0,5519.0,5073.0,4198.0,2763.0,39878.0,13302.0,55372.0,,,,
1384,2006_PUERTO_RICO,PUERTO_RICO,2006,,,,,,,,,,,207.0,35468.0,41624.0,42914.0,34829.0,337301.0,156618.0,494126.0,,,,
1380,2006_DOD_DOMESTIC,DOD_DOMESTIC,2006,,,,,,,,,,,2808.0,3209.0,2380.0,1306.0,524.0,18035.0,2579.0,23422.0,,,,
1385,2006_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2006,,,,,,,,,,,,1018.0,1315.0,1338.0,952.0,10219.0,5047.0,,,,,
1378,2006_AMERICAN_SAMOA,AMERICAN_SAMOA,2006,,,,,,,,,,,1560.0,1022.0,1109.0,1232.0,1064.0,9181.0,4588.0,15329.0,,,,
1379,2006_BIE,BIE,2006,,,,,,,,,,,,,,,,,,,,,,
1407,2007_AMERICAN_SAMOA,AMERICAN_SAMOA,2007,,,,,,,,,,,,,,,,,,,,,,
1408,2007_BUREAU_OF_INDIAN_EDUCATION,BUREAU_OF_INDIAN_EDUCATION,2007,,,,,,,,,,,,,,,,,,,,,,
1409,2007_DOD_-_DOMESTIC,DOD_-_DOMESTIC,2007,,,,,,,,,,,2668.0,3331.0,2568.0,1319.0,495.0,18808.0,2741.0,24217.0,,,,
1410,2007_DOD_-_OVERSEAS,DOD_-_OVERSEAS,2007,,,,,,,,,,,1734.0,5272.0,5001.0,4058.0,2630.0,37412.0,12829.0,51975.0,,,,
1411,2007_GUAM,GUAM,2007,,,,,,,,,,,,,,,,,,,,,,
1413,2007_PUERTO_RICO,PUERTO_RICO,2007,,,,,,,,,,,420.0,32490.0,41523.0,42807.0,33478.0,330494.0,149553.0,480467.0,,,,
1412,2007_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2007,,,,,,,,,,,462.0,689.0,869.0,855.0,558.0,6894.0,3159.0,10515.0,,,,
1414,2007_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2007,,,,,,,,,,,,1015.0,1199.0,1230.0,956.0,9755.0,5133.0,,,,,
1313,2008_GUAM,GUAM,2008,,,,,,,,,,,,,,,,,,,,,,
1316,2008_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2008,,,,,,,,,,,,977.0,1208.0,1166.0,1056.0,9590.0,5201.0,,,,,
1315,2008_PUERTO_RICO,PUERTO_RICO,2008,,,,,,,,,,,372.0,30914.0,39544.0,40500.0,30419.0,314224.0,143727.0,458323.0,,,,
1314,2008_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2008,,,,,,,,,,,462.0,614.0,819.0,824.0,537.0,6658.0,3097.0,10217.0,,,,
1312,2008_AMERICAN_SAMOA,AMERICAN_SAMOA,2008,,,,,,,,,,,,,,,,,,,,,,
1434,2009_AMERICAN_SAMOA,AMERICAN_SAMOA,2009,,,,,,,,,,,,,,,,,,,,,,
1435,2009_DOD_-_DOMESTIC,DOD_-_DOMESTIC,2009,,,,,,,,,,,,,,,,,,,,,,
1437,2009_GUAM,GUAM,2009,,,,,,,,,,,,,,,,,,,,,,
1438,2009_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2009,,,,,,,,,,,462.0,632.0,862.0,823.0,635.0,6595.0,3218.0,10275.0,,,,
1439,2009_PUERTO_RICO,PUERTO_RICO,2009,,,,,,,,,,,270.0,31976.0,38583.0,39143.0,29374.0,305453.0,140785.0,446508.0,,,,
1440,2009_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2009,,,,,,,,,,,,1006.0,1212.0,1103.0,1024.0,9403.0,5084.0,,,,,
